y_pred	 y	 loss
tensor([0.7498], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4419, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7512], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4410, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7526], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4402, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7540], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4394, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7554], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4387, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7567], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4379, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7580], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4372, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7593], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4365, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7606], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4358, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7618], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4351, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.7630], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.4344, grad_fn=<BinaryCrossEntropyBackward>)
